amharic,english
"ይቅር በሉኝ, ኢሳ ሃን","Forgive me, Consul Han"
ግን አንስቶ ኖረን ብለን እናምናለን ብዬ አምናለሁ የከፍተኛ ገጸ ባህሪዎን ሰዎች ለማጣት,but l believe we can ill afford to lose men of your high character
እና እንደ ጓደኛ መናገር,And speaking as a friend
ከጎን የሚካሄደው ማን ነው? ከእርስዎ ጋር ለ ዓመታት ከእርስዎ ጋር,who's fought side by side with you for years
በጣም ደስ ይላል የማይቻል ድጋፍ,l will sorely miss the unshakable support
ሰጡት ሮያል ሆንግ ኮንግ ፖሊስ,you've given the Royal Hong Kong Police
እና ስለሆነም በሁሉም ብሪታንያዎች በመወከል,And so on behalf of all Brits
ማን ጋሻውን የያዙ ማን ነው? በሆንግ ኮንግ እኛ እናጣለን,"who have ever carried the shield in Hong Kong, we shall miss you"
ደስታን እንመኛለን,We wish you happiness
አዲሱን ልጥፍዎን ሲወስዱ በአሜሪካ ውስጥ,as you take up your new post in the United States
"ወይዛዝርት እና ገርሞኖች, ግፊቱ ሃን","Ladies and gentlemen, Consul Han"
ሃን እናመሰግናለን ቶማስ,"Thank you, Thomas"
"አሁን, ቶማስ እንደማይሄድ ታውቃላችሁ ይህንን ምሽት ቀላል ለማድረግ ቀላል ነው","Now, you know Thomas is not going to make this evening easy"
እኔ መቻል ደስ ብሎኛል እርስዎን ለመተው እና ሆንግ ኮንግ,l am pleased to be able to leave you and Hong Kong
ዛሬ ማታ ልዩ ስጦታ,with a special gift tonight
"በዚህ ምሽት, መርማሪ ተቆጣጣሪ","Earlier this evening, Detective Inspector Lee"
የእሱ ልዩ ተግባር አንድ ጊዜ እና ለሁሉም,and his special task force have once and for all
የጃቱኖ ወንጀለኛን ተዘርግቷል ድርጅቶች እና የተነገረ ቅርሶች,crushed the Juntao criminal organization and reclaimed artifacts
ከ ዓመታት ጀምሮ የቻይና ቅርስ,from years of China's heritage
ይህ ህልሜ የነበራችሁት ቅርስ ነው,This is the kind of legacy I dreamt about
ሆንግ ኮንግ ለዘላለም,Hong Kong forever
ወደ ሆንግ ኮንግ ለዘላለም,To Hong Kong forever
ሰው ሞኝ ሞኝ! ገሃነም ከእኔ ጋር ሄድኩ!,Stupid fool! Get the hell out of my way!
"ሰው, እብድ ነህ?","Man, are you crazy?"
"ክሊኒ, ሰው ማን ነው?","Clive, what's up, man?"
ዘግይቷል. ህ?,You're late. Huh?
"ዘግይቶ? አዎ, ዘግይተሃል","l'm late? Yeah, you're late"
እየሄደህ ሰው ነህ. እየጠበቀ ነበር በጀርባ ውስጥ ከአንድ ሰዓት በላይ,"You're late, man. l've been waiting in the back for over an hour"
በእጅዋ ውስጥ ነበር. ከጀርባው ውስጥ ነገህ,"l was in the diner. Man, l told you in the back"
ይህን አሽቆርጥ ያደርግ ይሆን?,Think l would do this shit out front?
እንደገና መሰባበር እኔ በእድጓዳ ውስጥ አልነበሩም,l'm gonna get busted. You weren't in the diner
በ በስተጀርባ ምንም እንኳን ግድ የለውም,I said in the back of the d It don't even matter
"ዘግይቼ ዘግይቼያለሁ. ይህንን እናድርግ. ምን, ጠመንጃ ምንድነው?","I'm late, you late. Let's do this. What's that, a gun?"
ያንን ያስወግዱ. በዚህ አመት ምን ያህል ገድለዋል?,Put that away. How many people you killed this year?
"ሰው, ሰው. እንስራው። በል እንጂ። እንደገና አይዘገዩም","Stop it, man. Let's do it. Come on. Don't be late again"
እኔ ዘግይቼያለሁ. በል እንጂ። ያገኘነው ምንድን ነው?,I ain't gonna be late. Come on. What we got?
ያ ጥብቅ ነው. ያ ቆንጆ ነው. ያ ጥሩ ነው. ያ ምንድነው፧,That's tight. That's beautiful. That's nice. What's that?
ያ . ያ ሲ ?,That's C . That's C ?
ችግር የሌም። እያየሁ ነበር ለዚህ ሹራብ ሁሉ,No problem. I been looking everywhere for this shit
"ሰው, እንዴት የሆነ ሲ እንዴት ታገኛለህ?","Man, how the hell you find some C ?"
"ምን እንደሚሰማኝ አታውቅም, ሰው. ይህንን ሹራም እንኳን ማግኘት አልቻለም","You don't know how you make me feel, man. The lraqis can't even get this shit"
ይህንን ከየት ያገኙታል? ትኩስ ትኬት ነው,Where'd you get this from? lt's a hot ticket
ካርተር ምን ያህል ደስተኛ እንደሆነ አታውቅም አደረገኝ,You don't know how happy you made me
"ምን እንደሚፈልግ አግኝተሃል. ሰው ሆይ, ሰውዬ እንድሄድ ፍቀድልኝ","You got what l want. Let me go get that money, man"
ከራስዎ በላይ እጆችዎን ከራስዎ በላይ ያድርጉት. አሁን ያድርጉት,OFFlCER Put your hands above your heads. Just do it now
እዚህ ምንም ችግር የለም. እኛ ከኛ ጋር ለምን ይገናኛል?,Ain't no problem here. Why y'all messing with us for?
"እሺ, ቀላል ይውሰዱት","All right, take it easy"
ያንን ማድረግ አይፈልጉም. አዎ እፈፅማለሁ።,"You don't wanna do that. Yes, I do"
"እሱ, እሱ አይደለም. እሱ እየተጫወተ ነው. አይጫወትም","No, he don't. He's playing. No, I ain't playing"
እሱ መኮንን ነው. አይ አይደለሁም። አልጫወትኩም!,"Yes, he is, officer. No, I'm not. l'm not playing!"
ጠመንጃውን! የአጎቴ ልጅ ነው. እያወራን ነው,Drop the gun! He's just my cousin. We're just talking
ወደ መኪናው ተመልሰው ይውጡ,Get back in the car and leave
"ያንን ማድረግ አልችልም,","Can't do that, buddy"
ጭንቅላቱን በሙሉ በመኪና ማቆሚያ ቦታ ላይ እፈቅዳለሁ!,I'll blow his head all over the parking lot!
"በመኪናው ውስጥ, የተወሰኑ ዶናት ይግዙ! ተመልከት? አደረከው",Get in the car and buy some doughnuts! See? You made him mad
እሱን እንዳነጋገር ፍቀድልኝ. ደህና፧,Let me just talk to him. All right?
ሄይ! አይንቀሳቀሱ!,OFFlCER Hey! OFFlCER Don't move!
ደህና። ደህና። ሁሉም ነገር አሪፍ ነው,All right. All right. Everything cool now
ወረደ. ጠመንጃው. አሁን በመኪናው ውስጥ ተመልሰው ይውጡ,He down. The gun down. Now get back in the car and just leave
